ID;Name;URL;Type;Feature Type;Output Format;Version;Visible;description
2923;Flächenhafte Biotope teilweise geschützt;https://geodienste.hamburg.de/HH_WMS_Biotopkataster;WMS;;;1.3.0;Yes;Flächenhafte Biotope teilweise geschützt, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
2924;Linienhafte Biotope vollständig geschützt;https://geodienste.hamburg.de/HH_WMS_Biotopkataster;WMS;;;1.3.0;Yes;Linienhafte Biotope vollständig geschützt, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
2925;Linienhafte Biotope teilweise geschützt;https://geodienste.hamburg.de/HH_WMS_Biotopkataster;WMS;;;1.3.0;Yes;Linienhafte Biotope teilweise geschützt, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
2926;Punkthafte Biotope vollständig geschützt;https://geodienste.hamburg.de/HH_WMS_Biotopkataster;WMS;;;1.3.0;Yes;Punkthafte Biotope vollständig geschützt, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
2927;Punkthafte Biotope vollständig geschützt;https://geodienste.hamburg.de/HH_WFS_Biotopkataster;WFS;punkthafte_biotope_vollstaendig_geschuetzt;XML;1.1.0;Yes;Punkthafte Biotope vollständig geschützt, bereitgestellt ?ber den WFS-Dienst (Feature-Type: punkthafte_biotope_vollstaendig_geschuetzt) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
2928;Linienhafte Biotope teilweise geschützt;https://geodienste.hamburg.de/HH_WFS_Biotopkataster;WFS;linienhafte_biotope_teilweise_geschuetzt;XML;1.1.0;Yes;Linienhafte Biotope teilweise geschützt, bereitgestellt ?ber den WFS-Dienst (Feature-Type: linienhafte_biotope_teilweise_geschuetzt) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
2929;Flächenhafte Biotope vollständig geschützt;https://geodienste.hamburg.de/HH_WFS_Biotopkataster;WFS;flaechenhafte_biotope_vollstaendig_geschuetzt;XML;1.1.0;Yes;Flächenhafte Biotope vollständig geschützt, bereitgestellt ?ber den WFS-Dienst (Feature-Type: flaechenhafte_biotope_vollstaendig_geschuetzt) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
2930;Linienhafte Biotope vollständig geschützt;https://geodienste.hamburg.de/HH_WFS_Biotopkataster;WFS;linienhafte_biotope_vollstaendig_geschuetzt;XML;1.1.0;Yes;Linienhafte Biotope vollständig geschützt, bereitgestellt ?ber den WFS-Dienst (Feature-Type: linienhafte_biotope_vollstaendig_geschuetzt) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
2931;Flächenhafte Biotope teilweise geschützt;https://geodienste.hamburg.de/HH_WFS_Biotopkataster;WFS;flaechenhafte_biotope_teilweise_geschuetzt;XML;1.1.0;Yes;Flächenhafte Biotope teilweise geschützt, bereitgestellt ?ber den WFS-Dienst (Feature-Type: flaechenhafte_biotope_teilweise_geschuetzt) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
2936;Bundesstraßen Ortsdurchfahrt;https://geodienste.hamburg.de/DE_HH_WMS_INSPIRE_A1_7_Verkehrsnetze;WMS;;;1.3.0;Yes;Bundesstraßen Ortsdurchfahrt, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
